Filename,Branches Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,40.67,40.67,41.42,40.67,40.67,40.30,40.67,40.67,40.30,41.42
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,81.25,81.25,59.38,81.25,81.25,59.38,81.25,81.25,59.38,59.38
tccdbg.c,5.38,5.38,4.82,5.38,5.38,4.82,5.38,5.38,3.97,4.82
tccelf.c,12.03,12.03,3.62,12.03,12.03,3.62,11.53,12.03,3.62,3.62
tccgen.c,57.97,56.29,51.67,58.63,56.71,55.99,55.03,58.27,48.78,56.89
tccpp.c,53.32,53.70,51.80,53.83,53.32,52.18,52.18,53.32,51.17,52.69
tccrun.c,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
x86_64-gen.c,69.42,67.11,65.45,70.41,68.43,66.78,62.15,71.07,63.47,69.75
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
