Filename,Calls Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,34.24,34.63,34.24,34.24,34.24,34.24,34.24,34.24,34.24,34.24
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,27.45,17.65,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45
tccdbg.c,10.29,9.93,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29
tccelf.c,14.80,7.82,14.80,14.80,14.80,14.80,14.80,14.80,14.80,14.80
tccgen.c,27.07,14.34,27.14,28.36,27.40,26.82,27.72,26.50,27.20,28.75
tccpp.c,41.07,40.36,41.07,40.89,41.07,41.07,41.25,41.25,40.71,41.79
tccrun.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
x86_64-gen.c,32.83,3.02,36.93,33.91,36.72,36.50,37.15,39.74,34.99,40.82
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
