Filename,Lines Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,33.73,33.73,34.26,33.73,33.73,34.26,33.73,33.73,33.73,33.73
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,54.68,54.68,43.17,54.68,54.68,43.17,54.68,54.68,54.68,54.68
tccdbg.c,8.29,8.29,7.80,8.29,8.29,7.80,8.29,8.29,8.29,8.29
tccelf.c,18.12,18.12,7.33,18.12,18.12,7.33,18.08,18.12,18.12,18.12
tccgen.c,48.60,47.16,44.00,47.10,48.19,47.62,43.71,47.80,43.17,44.55
tccpp.c,52.18,52.05,51.75,52.57,52.05,52.44,51.19,52.18,51.44,51.70
tccrun.c,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
x86_64-gen.c,52.96,51.65,48.26,53.39,53.57,54.09,46.70,54.35,47.57,46.78
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
