Filename,Branches Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,33.58,33.58,33.58,33.58,33.58,33.58,33.58,33.58,33.58,33.58
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
tccdbg.c,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38
tccelf.c,11.20,11.20,11.20,11.20,11.20,11.20,11.20,11.20,11.20,11.20
tccgen.c,39.81,39.75,39.75,39.93,39.75,40.05,39.93,39.99,39.93,39.75
tccpp.c,48.01,49.15,48.01,49.15,48.01,49.15,48.01,48.01,49.15,48.01
tccrun.c,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
x86_64-gen.c,32.73,32.07,32.07,32.40,32.07,33.06,32.73,32.40,32.40,32.07
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
