Filename,Calls Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45
tccdbg.c,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29
tccelf.c,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16
tccgen.c,20.64,21.80,21.16,21.48,21.16,21.48,21.09,21.74,21.48,21.41
tccpp.c,39.64,39.46,39.46,39.64,39.29,39.46,39.64,39.46,39.46,39.29
tccrun.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
x86_64-gen.c,17.06,15.77,15.77,15.98,15.77,17.28,17.06,15.98,15.98,15.77
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
