Filename,Lines Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68,54.68
tccdbg.c,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29,8.29
tccelf.c,16.46,16.46,16.46,16.46,16.46,16.46,16.46,16.46,16.46,16.46
tccgen.c,32.55,32.34,32.38,32.18,32.40,32.52,32.18,32.18,31.97,32.01
tccpp.c,48.47,48.12,48.47,48.04,48.04,48.47,48.12,48.04,48.12,48.04
tccrun.c,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
x86_64-gen.c,23.13,22.96,23.13,22.26,22.96,23.13,22.96,22.43,22.96,22.96
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
