Filename,Branches Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,42.54,42.54,33.58,33.58,33.58,40.30,33.58,33.58,33.58,33.58,33.58
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,81.25,81.25,81.25,81.25,81.25,59.38,81.25,81.25,81.25,81.25,81.25
tccdbg.c,5.38,5.38,5.38,5.38,5.38,3.97,5.38,5.38,5.38,5.38,5.38
tccelf.c,11.37,11.37,11.20,11.20,11.20,3.46,11.20,11.20,11.20,11.20,11.20
tccgen.c,43.17,43.17,39.75,39.87,39.75,39.39,39.87,39.81,39.87,39.87,39.93
tccpp.c,50.03,50.03,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01
tccrun.c,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
x86_64-gen.c,38.35,38.35,32.07,32.73,32.07,32.07,32.73,32.07,32.73,32.73,32.73
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
