Filename,Calls Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,35.02,35.02,30.35,30.35,30.35,34.24,30.35,30.35,30.35,30.35,30.35
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,27.45,27.45,27.45,27.45,27.45,17.65,27.45,27.45,27.45,27.45,27.45
tccdbg.c,10.29,10.29,10.29,10.29,10.29,4.41,10.29,10.29,10.29,10.29,10.29
tccelf.c,14.16,14.16,14.16,14.16,14.16,7.40,14.16,14.16,14.16,14.16,14.16
tccgen.c,27.20,27.20,21.16,21.16,21.16,19.68,21.16,21.54,21.16,21.16,21.80
tccpp.c,42.14,42.14,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.29,39.64
tccrun.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
x86_64-gen.c,19.44,19.44,15.77,17.06,15.77,15.98,17.06,15.55,17.06,17.06,17.06
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
