Filename,Lines Executed %
i386-asm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libtcc.c,34.91,34.91,29.97,29.97,29.97,33.40,29.97,29.97,29.97,29.97,29.97
tccasm.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tcc.c,55.40,55.40,54.68,54.68,54.68,43.17,54.68,54.68,54.68,54.68,54.68
tccdbg.c,8.29,8.29,8.29,8.29,8.29,4.75,8.29,8.29,8.29,8.29,8.29
tccelf.c,16.66,16.66,16.46,16.46,16.46,6.55,16.46,16.46,16.46,16.46,16.46
tccgen.c,36.47,36.47,31.99,32.13,31.99,31.00,32.13,32.18,32.11,32.13,32.40
tccpp.c,49.37,49.37,48.12,48.12,48.12,48.04,48.12,48.12,48.12,48.12,48.12
tccrun.c,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
x86_64-gen.c,27.57,27.57,22.61,23.83,22.61,22.70,23.91,22.52,23.65,23.83,23.83
x86_64-link.c,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
